CZ_NAME,total_flood_minutes_2000_2005,total_flood_minutes_2018_2023,rate_change_percent
LAURENS,842.0,9869.0,1072.0902612826603
LEE,257.0,4670.0,1717.1206225680933
LIBERTY,420.0,0.0,-100.0
LONG,295.0,0.0,-100.0
LOWNDES,975.0,5252.0,438.6666666666667
LUMPKIN,405.0,1413.0,248.88888888888889
MACON,4980.0,960.0,-80.72289156626506
MADISON,490.0,0.0,-100.0
MARION,2445.0,480.0,-80.3680981595092
MCDUFFIE,240.0,0.0,-100.0
MCINTOSH,504.0,0.0,-100.0
MERIWETHER,2855.0,900.0,-68.47635726795096
MILLER,240.0,322.0,34.166666666666664
MONROE,1800.0,240.0,-86.66666666666667
MONTGOMERY,1140.0,470.0,-58.77192982456141
MORGAN,1677.0,1144.0,-31.782945736434108
MURRAY,3199.0,705.0,-77.96186308221318
MUSCOGEE,8739.0,2380.0,-72.76576267307472
NEWTON,345.0,350.0,1.4492753623188406
NORTH FULTON,3210.0,0.0,-100.0
OCONEE,240.0,300.0,25.0
OGLETHORPE,278.0,0.0,-100.0
PAULDING,2569.0,3731.0,45.23160762942779
PEACH,801.0,330.0,-58.80149812734082
PICKENS,2126.0,1340.0,-36.97083725305739
PIERCE,175.0,342.0,95.42857142857143
PIKE,2450.0,5881.0,140.0408163265306
POLK,791.0,4013.0,407.33249051833127
PULASKI,2805.0,239.0,-91.4795008912656
PUTNAM,691.0,1548.0,124.02315484804632
RABUN,2068.0,4830.0,133.55899419729207
RANDOLPH,90.0,626.0,595.5555555555555
RICHMOND,556.0,400.0,-28.05755395683453
ROCKDALE,2600.0,452.0,-82.61538461538461
SCHLEY,930.0,0.0,-100.0
SCREVEN,34.0,14399.0,42250.0
SEMINOLE,1230.0,723.0,-41.21951219512195
SOUTH FULTON,1620.0,0.0,-100.0
SPALDING,2205.0,920.0,-58.27664399092971
STEPHENS,2490.0,360.0,-85.54216867469879
STEWART,960.0,0.0,-100.0
SUMTER,5015.0,255.0,-94.91525423728814
TALBOT,1980.0,2430.0,22.727272727272727
TALIAFERRO,309.0,240.0,-22.330097087378643
TATTNALL,648.0,0.0,-100.0
TAYLOR,2400.0,0.0,-100.0
TELFAIR,1141.0,885.0,-22.4364592462752
TERRELL,240.0,900.0,275.0
THOMAS,615.0,2220.0,260.9756097560976
TOOMBS,615.0,579.0,-5.853658536585367
TOWNS,620.0,600.0,-3.225806451612903
TREUTLEN,540.0,0.0,-100.0
TROUP,2809.0,1724.0,-38.62584549661801
TWIGGS,585.0,1.0,-99.82905982905983
UNION,863.0,6010.0,596.4078794901507
UPSON,5705.0,3590.0,-37.072743207712534
WALKER,1135.0,1462.0,28.810572687224667
WALTON,2474.0,2880.0,16.410670978173002
WARE,415.0,46.0,-88.91566265060241
WAYNE,282.0,3.0,-98.93617021276596
WEBSTER,2505.0,0.0,-100.0
WHEELER,540.0,0.0,-100.0
WHITE,3039.0,8594.0,182.79039157617638
WHITFIELD,2803.0,7495.0,167.39207991437746
WILCOX,1261.0,960.0,-23.86994448850119
WILKES,280.0,810.0,189.28571428571428
WILKINSON,120.0,300.0,150.0
WORTH,480.0,10575.0,2103.125
COASTAL CHATHAM,0.0,465.0,
COASTAL MCINTOSH,0.0,150.0,
GLASCOCK,0.0,105.0,
JEFFERSON,0.0,420.0,
LANIER,0.0,150.0,
LINCOLN,0.0,210.0,
MITCHELL,0.0,1096.0,
TIFT,0.0,1276.0,
TURNER,0.0,3522.0,
WASHINGTON,0.0,1245.0,
